Episode,Average_Reward
1,0.9714285714285714
2,0.95
3,0.9444444444444444
4,0.9629629629629629
5,0.9583333333333334
6,0.9333333333333333
7,0.9375
8,0.9230769230769231
9,0.9444444444444444
10,0.96
11,0.9523809523809523
12,0.9736842105263158
13,0.9333333333333333
14,0.9
15,0.9411764705882353
16,0.95
17,0.9545454545454546
18,0.9230769230769231
19,0.9473684210526315
20,0.9375
21,0.967741935483871
22,0.9166666666666666
23,0.9565217391304348
24,0.9838709677419355
25,0.9090909090909091
26,0.9565217391304348
27,0.9285714285714286
28,0.9166666666666666
29,0.9375
30,0.9
31,0.9411764705882353
32,0.9166666666666666
33,0.9166666666666666
34,0.9523809523809523
35,0.972972972972973
36,0.9444444444444444
37,0.9473684210526315
38,0.9411764705882353
39,0.9523809523809523
40,0.9444444444444444
41,0.9375
42,0.9090909090909091
43,0.9523809523809523
44,0.9285714285714286
45,0.9090909090909091
46,0.9696969696969697
47,0.9
48,0.9375
49,0.9761904761904762
50,0.9333333333333333
51,0.9411764705882353
52,0.96875
53,0.9666666666666667
54,0.9875
55,0.9903846153846154
56,0.9876543209876543
57,0.9827586206896551
58,0.987012987012987
59,0.9901960784313726
60,0.9855072463768116
61,0.9795918367346939
62,0.9905660377358491
63,0.9876543209876543
64,0.9836065573770492
65,0.9887640449438202
66,0.9928057553956835
67,0.9875
68,0.9913793103448276
69,0.9900990099009901
70,0.9916666666666667
71,0.9948979591836735
72,0.9950738916256158
73,0.9913793103448276
74,0.9970845481049563
75,0.9973614775725593
76,0.9937888198757764
77,0.9946524064171123
78,0.9953271028037384
79,0.9947089947089947
80,0.9942857142857143
81,0.9939759036144579
82,0.9936708860759493
83,0.9954128440366973
84,0.9935483870967742
85,0.9976580796252927
86,0.9946236559139785
87,0.9947643979057592
88,0.9951923076923077
89,0.9946236559139785
90,0.9956709956709957
91,0.9946808510638298
92,0.9958677685950413
93,0.9948979591836735
94,0.9973262032085561
95,0.9945652173913043
96,0.9937106918238994
97,0.9961538461538462
98,0.9948717948717949
99,0.994413407821229
100,0.9947368421052631
101,0.9950248756218906
102,0.996268656716418
103,0.9941520467836257
104,0.9931506849315068
105,0.9952153110047847
106,0.9973684210526316
107,0.9950738916256158
108,0.9957805907172996
109,0.995
110,0.995260663507109
111,0.9967637540453075
112,0.9965156794425087
113,0.9962406015037594
114,0.9954128440366973
115,0.9966329966329966
116,0.9964028776978417
117,0.9965156794425087
118,0.997134670487106
119,0.996078431372549
120,0.9968553459119497
121,0.9953703703703703
122,0.997624703087886
123,0.9956140350877193
124,0.9971181556195965
125,0.9954337899543378
126,0.9956140350877193
127,0.9965034965034965
128,0.9965986394557823
129,0.9956896551724138
130,0.996551724137931
131,0.9967637540453075
132,0.9955357142857143
133,0.9959183673469387
134,0.9962546816479401
135,0.9957081545064378
136,0.9959183673469387
137,0.9964285714285714
138,0.9954128440366973
139,0.9979508196721312
140,0.9957081545064378
141,0.9959514170040485
142,0.9952153110047847
143,0.9962121212121212
144,0.9959349593495935
145,0.9962121212121212
146,0.995475113122172
147,0.9978632478632479
148,0.997624703087886
149,0.9967845659163987
150,0.9968253968253968
151,0.9972144846796658
152,0.995475113122172
153,0.9968253968253968
154,0.995575221238938
155,0.9968454258675079
156,0.9970238095238095
157,0.9962121212121212
158,0.9958847736625515
159,0.9882352941176471
160,0.9946808510638298
161,0.9959514170040485
162,0.9953703703703703
163,0.9962121212121212
164,0.9926470588235294
165,0.9936708860759493
166,0.9927536231884058
167,0.9936708860759493
168,0.9782608695652174
169,0.9852941176470589
170,0.9864864864864865
171,0.9893617021276596
172,0.9743589743589743
173,0.9761904761904762
174,0.9743589743589743
175,0.9925925925925926
176,0.9714285714285714
177,0.9868421052631579
178,0.9888888888888889
179,0.9970845481049563
180,0.9976359338061466
181,0.9976689976689976
182,0.9972375690607734
183,0.9959839357429718
184,0.998003992015968
185,0.9977064220183486
186,0.9961832061068703
187,0.9970149253731343
188,0.9966216216216216
189,0.9961832061068703
190,0.9959349593495935
191,0.9965753424657534
192,0.995575221238938
193,0.996551724137931
194,0.9966442953020134
195,0.9953051643192489
196,0.9967741935483871
197,0.9960159362549801
198,0.9965034965034965
199,0.9955357142857143
200,0.9968944099378882
